StateCode,DollarMultiplier,ExpenseRation
AL,1.15,0.79
AK,0.95,1.18
AZ,1.04,0.85
AR,1.15,0.8
CA,0.87,1.09
CO,0.97,1.03
CT,0.92,1.24
DE,1,1.04
DC,0.86,1.49
FL,1,0.97
GA,1.09,0.86
HI,0.84,1.13
ID,1.08,0.86
IL,1.01,1.05
IN,1.11,0.89
IA,1.11,0.92
KS,1.1,0.89
KY,1.14,0.83
LA,1.11,0.84
ME,1.02,1.06
MD,0.91,1.1
MA,0.93,1.3
MI,1.07,0.96
MN,1.03,1.11
MS,1.16,0.73
MO,1.12,0.94
MT,1.06,1
NE,1.1,0.98
NV,1.03,0.97
NH,0.94,1.23
NJ,0.88,1.22
NM,1.07,0.85
NY,0.87,1.21
NC,1.1,0.84
ND,1.09,1.14
OH,1.12,0.96
OK,1.12,0.81
OR,1,1
PA,1.02,1.05
RI,1,1.06
SC,1.11,0.82
SD,1.13,1.04
TN,1.11,0.85
TX,1.03,0.92
UT,1.03,0.88
VT,0.98,1.17
VA,0.98,1.07
WA,0.95,1.09
WV,1.14,0.85
WI,1.08,0.99
WY,1.03,1
